city,year,affordability_ratio
Chemnitz,2010,0.17095290930714097
Chemnitz,2011,0.16625891187843014
Chemnitz,2012,0.14864147362878138
Chemnitz,2013,0.15404870354944433
Chemnitz,2014,0.1281649808418025
Chemnitz,2015,0.11116534987504641
Chemnitz,2016,0.10905788869629386
Chemnitz,2017,0.12865215099246372
Chemnitz,2018,0.12591584721755766
Chemnitz,2019,0.13628253263693432
Chemnitz,2020,0.1289067733723032
Chemnitz,2021,0.15320440117660492
Chemnitz,2022,0.14592065309699703
Chemnitz,2023,0.1513332270678433
Chemnitz,2024,0.14143494915908994
Chemnitz,1993,0.21018719327465527
Chemnitz,1994,0.23118486321290488
Chemnitz,1995,0.24438406471458796
Chemnitz,1996,0.22211359713500067
Chemnitz,1997,0.2164024850083736
Chemnitz,1998,0.19563200660395527
Chemnitz,1999,0.1787385684093376
Chemnitz,2000,0.19538006309390332
Chemnitz,2001,0.1893614588260846
Chemnitz,2002,0.17531300434847646
Chemnitz,2003,0.16205590290087415
Chemnitz,2004,0.14484968294732406
Chemnitz,2005,0.1438563494559169
Chemnitz,2006,0.1610032062780194
Chemnitz,2007,0.16551457698222558
Chemnitz,2008,0.1551141084811156
Chemnitz,2009,0.14631814084543987
Chemnitz,2010,0.12260001662623593
Chemnitz,2011,0.11835200933837928
Chemnitz,2012,0.10502272202210826
Chemnitz,2013,0.1046327027489415
Chemnitz,2014,0.09094800793073571
Chemnitz,2015,0.07372408079694831
Chemnitz,2016,0.0840544582901927
Chemnitz,2017,0.09362906135463196
Chemnitz,2018,0.09143404833610289
Chemnitz,2019,0.10777586345614416
Chemnitz,2020,0.10547047950959827
Chemnitz,2021,0.11615069516376904
Chemnitz,2022,0.10497763149027087
Chemnitz,2023,0.10672319889072365
Chemnitz,2024,0.10168577694324346
Köln,1991,0.2197176693926602
Köln,1992,0.2075699479804561
Köln,1993,0.2244527068880336
Köln,1994,0.24022643240295374
Köln,1995,0.1924668524321126
Köln,1996,0.18354472330292773
Köln,1997,0.18754232152408828
Köln,1998,0.18748240719581155
Köln,1999,0.18704630681423867
Köln,2000,0.19534258948240718
Köln,2001,0.18981693575741232
Köln,2002,0.18987602533143635
Köln,2003,0.17185850889674234
Köln,2004,0.18459408786770556
Köln,2005,0.1745296844187612
Köln,2006,0.18314149102807187
Köln,2007,0.19362062357361784
Köln,2008,0.17499011944869122
Köln,2009,0.19703307285457108
Köln,2010,0.19157963275389045
Köln,2011,0.19082035676663153
Köln,2012,0.18019679311788972
Köln,2013,0.189406722636824
Köln,2014,0.19228688975038635
Köln,2015,0.18551650504442144
Köln,2016,0.20630306323561107
Köln,2017,0.18986965381760637
Köln,2018,0.18917743437033469
Köln,2019,0.19137290768488766
Köln,2020,0.19273612778028074
Köln,2021,0.21413855956944153
Köln,2022,0.21812272034221197
Köln,2023,0.20277919827934696
